Country,Population (2024),Land Area(Km²),Density(P/Km²)
Afghanistan,"42,647,492","652,860",65
Albania,"2,791,765","27,400",102
Algeria,"46,814,308","2,381,740",20
Andorra,"81,938",470,174
Angola,"37,885,849","1,246,700",30
Antigua and Barbuda,"93,772",440,213
Argentina,"45,696,159","2,736,690",17
Armenia,"2,973,840","28,470",104
Australia,"26,713,205","7,682,300",3
Austria,"9,120,813","82,409",111
Azerbaijan,"10,336,577","82,658",125
Bahamas,"401,283","10,010",40
Bahrain,"1,607,049",760,"2,115"
Bangladesh,"173,562,364","130,170","1,333"
Barbados,"282,467",430,657
Belarus,"9,056,696","202,910",45
Belgium,"11,738,763","30,280",388
Belize,"417,072","22,810",18
Benin,"14,462,724","112,760",128
Bhutan,"791,524","38,117",21
Bolivia,"12,413,315","1,083,300",11
Bosnia and Herzegovina,"3,164,253","51,000",62
Botswana,"2,521,139","566,730",4
Brazil,"211,998,573","8,358,140",25
Brunei,"462,721","5,270",88
Bulgaria,"6,757,689","108,560",62
Burkina Faso,"23,548,781","273,600",86
Burundi,"14,047,786","25,680",547
Côte d'Ivoire,"31,934,230","318,000",100
Cabo Verde,"524,877","4,030",130
Cambodia,"17,638,801","176,520",100
Cameroon,"29,123,744","472,710",62
Canada,"39,742,430","9,093,510",4
Central African Republic,"5,330,690","622,980",9
Chad,"20,299,123","1,259,200",16
Chile,"19,764,771","743,532",27
China,"1,419,321,278","9,388,211",151
Colombia,"52,886,363","1,109,500",48
Comoros,"866,628","1,861",466
Congo (Congo-Brazzaville),"6,332,961","341,500",19
Costa Rica,"5,129,910","51,060",100
Croatia,"3,875,325","55,960",69
Cuba,"10,979,783","106,440",103
Cyprus,"1,358,282","9,240",147
Czechia (Czech Republic),"10,735,859","77,240",139
Democratic Republic of the Congo,"109,276,265","2,267,050",48
Denmark,"5,977,412","42,430",141
Djibouti,"1,168,722","23,180",50
Dominica,"66,205",750,88
Dominican Republic,"11,427,557","48,320",236
Ecuador,"18,135,478","248,360",73
Egypt,"116,538,258","995,450",117
El Salvador,"6,338,193","20,720",306
Equatorial Guinea,"1,892,516","28,050",67
Eritrea,"3,535,603","101,000",35
Estonia,"1,360,546","42,390",32
"Eswatini (fmr. ""Swaziland"")","1,242,822","17,200",72
Ethiopia,"132,059,767","1,000,000",132
Fiji,"928,784","18,270",51
Finland,"5,617,310","303,890",18
France,"66,548,530","547,557",122
Gabon,"2,538,952","257,670",10
Gambia,"2,759,988","10,120",273
Georgia,"3,807,670","69,490",55
Germany,"84,552,242","348,560",243
Ghana,"34,427,414","227,540",151
Greece,"10,047,817","128,900",78
Grenada,"117,207",340,345
